State,Population2010,ARTHRITIS,BPHIGH,CANCER,ASTHMA,SMOKING,DIABETES,HIGHCHOL,KIDNEY_DISEASE,OBESITY,SLEEP_LESS_THAN_7HOURS
ALL_States,103020808,21.3762,29.614,5.7868,9.5388,17.1832,10.0438,31.2588,2.9512,29.7222,35.4512
AK,291826,19.4,28,5.4,9,17.9,7.3,31,2.3,34.2,31.3
AL,965304,27.7,38.7,6.083333333,11.11666667,19.01666667,12.51666667,33.63333333,3.266666667,36.21666667,38.05
AR,490373,23.02,33.58,5.68,9.68,21.5,9.82,31.42,3,32.42,34.98
AZ,3896074,20.63333333,26.59166667,6.091666667,10.23333333,16.29166667,8.716666667,30.75833333,3.191666667,28.775,34.9
CA,22367518,18.41818182,26.51239669,5.480165289,8.845454545,13.60165289,9.497520661,30.30082645,2.83553719,24.82561983,35.30909091
CO,2510323,20.75,24.39285714,5.957142857,9.421428571,15.76428571,7.192857143,29.80714286,2.557142857,23.4,28.46428571
CT,871494,21,29.525,5.65,10.7625,16.9375,10.2125,29.8375,3.025,29.575,38.0375
DC,601723,16.1,28,4.9,10,16.2,8.4,28,2.7,25.5,36.4
DE,70851,23.5,39.8,5.7,12,22.5,14,32.2,3.7,39.3,43.1
FL,5166487,23.46666667,33.60909091,6.515151515,8.648484848,18.54242424,11.22424242,33.45151515,3.336363636,29.22424242,36.95757576
GA,1551770,20.95454545,32.2,5.554545455,9.536363636,18.82727273,10.95454545,30.07272727,3.145454545,32.71818182,39.1
HI,953207,18.4,30.3,5.4,8.8,13.5,11.2,32.9,3,23.4,46.9
IA,648396,22.23333333,28.71666667,6.166666667,9.7,19.71666667,9.066666667,32.56666667,2.75,35.16666667,29.5
ID,362320,21.36666667,27.16666667,6.033333333,9.6,15.36666667,7.866666667,28.93333333,2.7,30.5,29.6
IL,4447592,21.67222222,29.52777778,5.744444444,9.122222222,17.33888889,9.561111111,30.82222222,2.783333333,31.75,33.75
IN,1827472,24.77272727,33.19090909,5.909090909,10.48181818,21.81818182,11.4,32.29090909,3.118181818,34.84545455,36.34545455
KS,1042514,20.91666667,30,5.916666667,9.366666667,18.31666667,9.65,32.26666667,2.716666667,32.2,31.25
KY,893140,26.05,35.75,6.15,10.6,22.05,10.85,33.65,3.05,32.4,38.6
LA,1031951,24.71666667,38.76666667,6.016666667,9.683333333,22.1,12.95,34.76666667,3.466666667,36.16666667,38.93333333
MA,1860996,22.41538462,28.06923077,5.869230769,11.2,17.86923077,9.615384615,31.16923077,2.876923077,28.22307692,37.02307692
MD,620961,24.8,36.4,5.6,11.3,21.8,12.6,30.6,3.5,38.7,43
ME,66194,22.3,26.6,6.5,10.3,15.5,7.4,30.5,2.6,23.6,31.5
MI,2225267,27.1625,32.78125,6.6125,10.99375,20.075,10.73125,33.39375,3.1625,32.13125,38
MN,1089930,17.6,23.85714286,6.114285714,7.957142857,15.41428571,7.257142857,27.57142857,2.542857143,26.28571429,30.18571429
MO,1411382,24.2125,28.975,6.275,9.5125,21.2875,9.4625,32.5,2.9,31.875,34.8375
MS,241307,25.55,40.75,5.7,10.7,23.7,13.55,34.95,3.55,37.45,39.35
MT,170958,20.85,24,6.5,9.45,18.1,6.8,28.05,2.65,24.4,29.25
NC,2798473,20.9,30.66428571,5.592857143,9.85,17.69285714,9.335714286,30.82857143,2.864285714,31.27142857,34.53571429
ND,105549,19.1,24.9,5.4,8.5,18.1,7,30.6,2.3,29.6,27.3
NE,667337,21.15,27.4,5.95,8.7,16.75,8.95,30.7,2.65,31.75,29.85
NH,196059,25.2,28.4,6.75,10.95,17.85,9.05,30.9,2.75,30.35,35.55
NJ,1178534,20.56666667,33.7,4.7,9.611111111,20.6,13.76666667,32.41111111,3.366666667,33.58888889,44.06666667
NM,798938,23.2,26.95,6.3,9.55,16.275,9.2,30.6,3.075,25.35,30.625
NV,1373931,20.3,29.7,5.88,10.04,19.44,9.66,32,2.98,26.32,37.82
NY,9296499,22.98888889,31.51111111,5.744444444,10.93333333,19.12222222,11.22222222,31.07777778,3.222222222,30.44444444,39.16666667
OH,2330226,28.02222222,36.14444444,6.255555556,10.95555556,25.5,14.08888889,33.04444444,3.633333333,38.92222222,41.74444444
OK,1359952,22.85,32.86666667,5.966666667,10.15,18.8,9.883333333,34.26666667,2.883333333,33.51666667,33.08333333
OR,1333152,22.6125,26.175,6.2625,10.475,17.3,8.075,29.85,2.75,27.525,31.5625
PA,2290681,26.94285714,31.85714286,6.214285714,10.71428571,23.97142857,11.82857143,32.67142857,3.371428571,35.31428571,40.18571429
RI,412249,25.9,32.5,6.8,12.025,17.8,9.85,31.15,2.925,31.85,38.975
SC,480823,21.38,32.28,5.66,9.64,17.52,10.28,30.76,2.76,31.64,35.92
SD,221844,20.9,30.1,6.6,8.6,18.95,9,28.2,2.75,32.7,26.8
TN,1836343,23.93333333,34.16666667,5.666666667,10.63333333,22.55,11.15,32.2,3.016666667,33.48333333,39.45
TX,12325490,19.23829787,30.55957447,5.157446809,8.457446809,16.49361702,11.13829787,31.98085106,2.859574468,33.62978723,34.2106383
UT,930942,18.27777778,23.18888889,5.3,9.377777778,11.04444444,7.3,28.21111111,2.577777778,27.01111111,31.33333333
VA,1918061,24.07272727,32.85454545,5.9,10.24545455,19.48181818,11.19090909,31.90909091,2.990909091,34.19090909,39.13636364
VT,42417,16.9,19.9,4.7,11.3,14.9,5.5,22.7,2.2,23.5,28.6
WA,2081594,22.09285714,27.21428571,6.157142857,10.27142857,15.47142857,8.664285714,30.12857143,2.907142857,27.79285714,32.75
WI,1253518,22.35714286,27.98571429,5.857142857,10.11428571,18.9,8.228571429,31.25714286,2.8,33.05714286,34.61428571
WV,51400,35.5,43.4,7.4,11.2,21.4,14.7,38.6,3.4,38.7,39.6
WY,59466,23.9,30.4,6.8,9.6,18.3,8.7,31.3,2.7,29.2,33.1
